year,regime_mode,head_of_state,how_selected,elections_held,notes,source,vdem_regime
1810,civil_war_or_state_building,Primera Junta,congress,False,Guerras de independencia; juntas y triunviratos sin elecciones populares.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1811,civil_war_or_state_building,Primer Triunvirato,congress,False,Guerras de independencia; juntas y triunviratos sin elecciones populares.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1812,civil_war_or_state_building,Segundo Triunvirato,congress,False,Guerras de independencia; juntas y triunviratos sin elecciones populares.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1813,civil_war_or_state_building,Segundo Triunvirato,congress,False,Guerras de independencia; juntas y triunviratos sin elecciones populares.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1814,civil_war_or_state_building,Gervasio Antonio de Posadas,congress,False,Guerras de independencia; juntas y triunviratos sin elecciones populares.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1815,civil_war_or_state_building,Ignacio Álvarez Thomas (interino),succession,False,Guerras de independencia; juntas y triunviratos sin elecciones populares.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1816,civil_war_or_state_building,Juan Martín de Pueyrredón,congress,False,Guerras de independencia; juntas y triunviratos sin elecciones populares.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1817,civil_war_or_state_building,Juan Martín de Pueyrredón,congress,False,Guerras de independencia; juntas y triunviratos sin elecciones populares.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1818,civil_war_or_state_building,Juan Martín de Pueyrredón,congress,False,Guerras de independencia; juntas y triunviratos sin elecciones populares.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1819,civil_war_or_state_building,José Rondeau,congress,False,Guerras de independencia; juntas y triunviratos sin elecciones populares.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1820,civil_war_or_state_building,(sin autoridad nacional — autonomías provinciales),congress,False,"'Anarquía del Año XX'; sin poder ejecutivo nacional, autonomías provinciales.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1821,civil_war_or_state_building,(sin autoridad nacional — autonomías provinciales),congress,False,"'Anarquía del Año XX'; sin poder ejecutivo nacional, autonomías provinciales.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1822,civil_war_or_state_building,(sin autoridad nacional — autonomías provinciales),congress,False,"'Anarquía del Año XX'; sin poder ejecutivo nacional, autonomías provinciales.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1823,civil_war_or_state_building,(sin autoridad nacional — autonomías provinciales),congress,False,"'Anarquía del Año XX'; sin poder ejecutivo nacional, autonomías provinciales.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1824,civil_war_or_state_building,(sin autoridad nacional — autonomías provinciales),congress,False,"'Anarquía del Año XX'; sin poder ejecutivo nacional, autonomías provinciales.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1825,civil_war_or_state_building,(sin autoridad nacional — autonomías provinciales),congress,False,"'Anarquía del Año XX'; sin poder ejecutivo nacional, autonomías provinciales.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1826,transition,Bernardino Rivadavia,congress,False,Presidencia de Rivadavia bajo Constitución unitaria de 1826 no ratificada por las provincias.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1827,transition,Vicente López y Planes / Manuel Dorrego / guerra civil,congress,False,Presidencia de Rivadavia bajo Constitución unitaria de 1826 no ratificada por las provincias.,general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1828,civil_war_or_state_building,Vicente López y Planes / Manuel Dorrego / guerra civil,congress,False,"Guerra civil (fusilamiento de Dorrego, guerra entre unitarios y federales) hasta la asunción de Rosas (dic. 1829).",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1829,civil_war_or_state_building,Juan Manuel de Rosas (1er gobierno),congress,False,"Guerra civil (fusilamiento de Dorrego, guerra entre unitarios y federales) hasta la asunción de Rosas (dic. 1829).",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1830,dictatorship,Juan Manuel de Rosas (1er gobierno),congress,False,"Rosas gobierna Buenos Aires (con la suma del poder público desde 1835) y ejerce de facto las relaciones exteriores de la Confederación; simplificación que incluye los interinatos de 1832-1835, alineados con Rosas.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1831,dictatorship,Juan Manuel de Rosas (1er gobierno),congress,False,"Rosas gobierna Buenos Aires (con la suma del poder público desde 1835) y ejerce de facto las relaciones exteriores de la Confederación; simplificación que incluye los interinatos de 1832-1835, alineados con Rosas.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1832,dictatorship,Juan Ramón Balcarce / Juan José Viamonte / interinatos,congress,False,"Rosas gobierna Buenos Aires (con la suma del poder público desde 1835) y ejerce de facto las relaciones exteriores de la Confederación; simplificación que incluye los interinatos de 1832-1835, alineados con Rosas.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
1833,dictatorship,Juan Ramón Balcarce / Juan José Viamonte / interinatos,congress,False,"Rosas gobierna Buenos Aires (con la suma del poder público desde 1835) y ejerce de facto las relaciones exteriores de la Confederación; simplificación que incluye los interinatos de 1832-1835, alineados con Rosas.",general_knowledge (periodizacion propia del analista a partir de historiografia estandar; ver README.md),
